Key,Key,EN,DE,
activemodel.attributes.project.budget,activemodel.attributes.project.budget,Budget,Budget,
activemodel.attributes.project.decidim_category_id,activemodel.attributes.project.decidim_category_id,Category,Kategorie,
activemodel.attributes.project.decidim_scope_id,activemodel.attributes.project.decidim_scope_id,Scope,Reichweite,
activemodel.attributes.project.description,activemodel.attributes.project.description,Description,Beschreibung,
activemodel.attributes.project.proposal_ids,activemodel.attributes.project.proposal_ids,Related proposals,Verbundene Vorschläge,
activemodel.attributes.project.title,activemodel.attributes.project.title,Title,Titel,
activerecord.models.decidim/budgets/project.one,activerecord.models.decidim/budgets/project.one,Project,Projekt,
activerecord.models.decidim/budgets/project.other,activerecord.models.decidim/budgets/project.other,Projects,Projekte,
decidim.budgets.actions.attachment_collections,decidim.budgets.actions.attachment_collections,Folders,Ordner,
decidim.budgets.actions.attachments,decidim.budgets.actions.attachments,Attachments,Anlagen,
decidim.budgets.actions.confirm_destroy,decidim.budgets.actions.confirm_destroy,Are you sure you want to delete this project?,"Sind Sie sicher, dass Sie dieses Projekt löschen möchten?",
decidim.budgets.actions.destroy,decidim.budgets.actions.destroy,Delete,Löschen,
decidim.budgets.actions.edit,decidim.budgets.actions.edit,Edit,Bearbeiten,
decidim.budgets.actions.edit_projects,decidim.budgets.actions.edit_projects,Manage projects,Projekte verwalten,
decidim.budgets.actions.import,decidim.budgets.actions.import,Import proposals to projects,Vorschläge in Projekte importieren,
decidim.budgets.actions.new,decidim.budgets.actions.new,New %{name},Neu %{name},
decidim.budgets.actions.preview,decidim.budgets.actions.preview,Preview,Vorschau,
decidim.budgets.actions.title,decidim.budgets.actions.title,Actions,Aktionen,
decidim.budgets.admin.budgets.create.invalid,decidim.budgets.admin.budgets.create.invalid,There was a problem creating this budget,Bei Erstellen dieses Budgets ist ein Problem aufgetreten,
decidim.budgets.admin.budgets.create.success,decidim.budgets.admin.budgets.create.success,Budget successfully created,Budget erfolgreich erstellt,
decidim.budgets.admin.budgets.destroy.invalid,decidim.budgets.admin.budgets.destroy.invalid,There was a problem deleting this budget,Beim Löschen dieses Budgets ist ein Problem aufgetreten,
decidim.budgets.admin.budgets.destroy.success,decidim.budgets.admin.budgets.destroy.success,Budget successfully deleted,Budget erfolgreich gelöscht,
decidim.budgets.admin.budgets.edit.title,decidim.budgets.admin.budgets.edit.title,Edit budget,Budget bearbeiten,
decidim.budgets.admin.budgets.edit.update,decidim.budgets.admin.budgets.edit.update,Update budget,Budget aktualisieren,
decidim.budgets.admin.budgets.index.title,decidim.budgets.admin.budgets.index.title,Budgets,Budgets,
decidim.budgets.admin.budgets.new.create,decidim.budgets.admin.budgets.new.create,Create budget,Budget erstellen,
decidim.budgets.admin.budgets.new.title,decidim.budgets.admin.budgets.new.title,New budget,Neues Budget,
decidim.budgets.admin.budgets.update.invalid,decidim.budgets.admin.budgets.update.invalid,There was a problem updating this budget,Bei der Aktualisierung dieses Budgets ist ein Problem aufgetreten,
decidim.budgets.admin.budgets.update.success,decidim.budgets.admin.budgets.update.success,Budget successfully updated,Budget erfolgreich aktualisiert,
decidim.budgets.admin.models.budget.name,decidim.budgets.admin.models.budget.name,Budget,Budget,
decidim.budgets.admin.models.project.name,decidim.budgets.admin.models.project.name,Project,Projekt,
decidim.budgets.admin.projects.create.invalid,decidim.budgets.admin.projects.create.invalid,There was a problem creating this project,Beim Erstellen dieses Projekts ist ein Problem aufgetreten,
decidim.budgets.admin.projects.create.success,decidim.budgets.admin.projects.create.success,Project successfully created,Projekt erfolgreich erstellt,
decidim.budgets.admin.projects.destroy.success,decidim.budgets.admin.projects.destroy.success,Project successfully deleted,Projekt erfolgreich gelöscht,
decidim.budgets.admin.projects.edit.title,decidim.budgets.admin.projects.edit.title,Edit project,Projekt bearbeiten,
decidim.budgets.admin.projects.edit.update,decidim.budgets.admin.projects.edit.update,Update,Aktualisieren,
decidim.budgets.admin.projects.index.finished_orders,decidim.budgets.admin.projects.index.finished_orders,Finished votes,Abgeschlossene Abstimmungen,
decidim.budgets.admin.projects.index.pending_orders,decidim.budgets.admin.projects.index.pending_orders,Pending votes,Noch anhängige Abstimmungen,
decidim.budgets.admin.projects.index.selected,decidim.budgets.admin.projects.index.selected,Selected,Ausgewählt,
decidim.budgets.admin.projects.index.title,decidim.budgets.admin.projects.index.title,Projects,Projekte,
decidim.budgets.admin.projects.new.create,decidim.budgets.admin.projects.new.create,Create,Erstellen,
decidim.budgets.admin.projects.new.title,decidim.budgets.admin.projects.new.title,New project,Neues Projekt,
decidim.budgets.admin.projects.update.invalid,decidim.budgets.admin.projects.update.invalid,There was a problem updating this project,Bei der Aktualisierung dieses Projekts ist ein Problem aufgetreten,
decidim.budgets.admin.projects.update.success,decidim.budgets.admin.projects.update.success,Project successfully updated,Projekt erfolgreich aktualisiert,
decidim.budgets.admin.proposals_imports.create.invalid,decidim.budgets.admin.proposals_imports.create.invalid,There was a problem importing the proposals into projects,Beim Importieren der Vorschläge in Projekte ist ein Problem aufgetreten,
decidim.budgets.admin.proposals_imports.create.success,decidim.budgets.admin.proposals_imports.create.success,%{number} proposals successfully imported into projects,%{number} Vorschläge erfolgreich in Projekte importiert,
decidim.budgets.admin.proposals_imports.new.create,decidim.budgets.admin.proposals_imports.new.create,Import proposals to projects,Vorschläge in Projekte importieren,
decidim.budgets.admin.proposals_imports.new.no_components,decidim.budgets.admin.proposals_imports.new.no_components,There are no other proposal components in this participatory space to import the proposals into projects.,"In diesem Beteiligungsbereich gibt es keine weiteren Vorschlagskomponenten, um die Vorschläge in Projekte zu importieren.",
decidim.budgets.admin.proposals_imports.new.select_component,decidim.budgets.admin.proposals_imports.new.select_component,Please select a component,Bitte wählen Sie eine Komponente,
decidim.budgets.admin_log.budget.create,decidim.budgets.admin_log.budget.create,%{user_name} created the %{resource_name} budget in the %{space_name} space,%{user_name} hat den %{resource_name} Budget im %{space_name} Bereich erstellt,
decidim.budgets.admin_log.budget.delete,decidim.budgets.admin_log.budget.delete,%{user_name} deleted the %{resource_name} budget in the %{space_name} space,%{user_name} hat den %{resource_name} Budget im %{space_name} Bereich gelöscht,
decidim.budgets.admin_log.budget.update,decidim.budgets.admin_log.budget.update,%{user_name} updated the %{resource_name} budget in the %{space_name} space,%{user_name} hat den %{resource_name} Budget im %{space_name} Bereich aktualisiert,
decidim.budgets.admin_log.project.create,decidim.budgets.admin_log.project.create,%{user_name} created the %{resource_name} project in the %{space_name} space,%{user_name} hat das %{resource_name} Projekt im %{space_name} Bereich erstellt,
decidim.budgets.admin_log.project.delete,decidim.budgets.admin_log.project.delete,%{user_name} deleted the %{resource_name} project in the %{space_name} space,%{user_name} hat das %{resource_name} Projekt im %{space_name} Bereich gelöscht,
decidim.budgets.admin_log.project.update,decidim.budgets.admin_log.project.update,%{user_name} updated the %{resource_name} project in the %{space_name} space,%{user_name} hat das %{resource_name} Projekt im %{space_name} Bereich aktualisiert,
decidim.budgets.budget.view,decidim.budgets.budget.view,View all budget projects,Alle Budgetprojekte anzeigen,
decidim.budgets.budget_information_modal.back_to,decidim.budgets.budget_information_modal.back_to,Back to %{component_name},Zurück zu %{component_name},
decidim.budgets.budget_information_modal.close_modal,decidim.budgets.budget_information_modal.close_modal,Close modal,Fenster schließen,
decidim.budgets.budget_information_modal.continue,decidim.budgets.budget_information_modal.continue,Continue,Weiter,
decidim.budgets.budget_information_modal.more_information,decidim.budgets.budget_information_modal.more_information,More information,Weitere Informationen,
decidim.budgets.budgets_list.cancel_order.more_than_one,decidim.budgets.budgets_list.cancel_order.more_than_one,delete your vote on %{name} and start over,Abstimmung auf %{name} löschen und von vorne beginnen,
decidim.budgets.budgets_list.cancel_order.only_one,decidim.budgets.budgets_list.cancel_order.only_one,delete your vote and start over.,Abstimmung löschen und von vorne beginnen,
decidim.budgets.budgets_list.finished_message,decidim.budgets.budgets_list.finished_message,You've finished the voting process. Thanks for participating!,Sie haben den Abstimmungsprozess abgeschlossen. Danke für die Teilnahme!,
decidim.budgets.budgets_list.highlighted_cta,decidim.budgets.budgets_list.highlighted_cta,Vote on %{name},Abstimmung auf %{name},
decidim.budgets.budgets_list.if_change_opinion,decidim.budgets.budgets_list.if_change_opinion,"If you've changed your mind, you can","Wenn Sie Ihre Meinung geändert haben, können Sie",
decidim.budgets.budgets_list.my_budgets,decidim.budgets.budgets_list.my_budgets,My budgets,Meine Budgets,
decidim.budgets.budgets_list.voted_on,decidim.budgets.budgets_list.voted_on,You've voted on %{links},Sie haben über %{links} abgestimmt,
decidim.budgets.limit_announcement.cant_vote,decidim.budgets.limit_announcement.cant_vote,"You can't vote on this budget. <a href=""%{landing_path}"">Try on another budget</a>.","Über dieses Budget können Sie nicht abstimmen. <a href=""%{landing_path}"">Versuchen Sie es mit einem anderen Budget</a>.",
decidim.budgets.limit_announcement.limit_reached,decidim.budgets.limit_announcement.limit_reached,"You have active votes in %{links}. To vote on this budget you must <a href=""%{landing_path}"">delete your vote and start over</a>.","Sie haben aktive Stimmen in %{links}. Um über dieses Budget abzustimmen, müssen Sie <a href=""%{landing_path}""> Ihre Abstimmung löschen und noch einmal beginnen</a>.",
decidim.budgets.models.budget.fields.name,decidim.budgets.models.budget.fields.name,Name,Name,
decidim.budgets.models.budget.fields.projects_count,decidim.budgets.models.budget.fields.projects_count,Projects count,Projektzählung,
decidim.budgets.models.budget.fields.total_budget,decidim.budgets.models.budget.fields.total_budget,Total budget,Gesamtbudget,
decidim.budgets.models.project.fields.title,decidim.budgets.models.project.fields.title,Title,Titel,
decidim.budgets.order_summary_mailer.order_summary.selected_projects,decidim.budgets.order_summary_mailer.order_summary.selected_projects,The projects that you have selected are:,"Die Projekte, die Sie ausgewählt haben, sind:",
decidim.budgets.order_summary_mailer.order_summary.subject,decidim.budgets.order_summary_mailer.order_summary.subject,You have voted on the %{space_name} participatory space,Sie haben über den %{space_name} Beteiligungsbereich abgestimmt,
decidim.budgets.order_summary_mailer.order_summary.voted_on_space,decidim.budgets.order_summary_mailer.order_summary.voted_on_space,You have voted on the %{budget_name} budget for the %{space_name} participatory space.,Sie haben über das %{budget_name} Budget für den %{space_name} Beteiligungsbereich abgestimmt,
decidim.budgets.order_summary_mailer.order_summary.voted_on_space_with_scope,decidim.budgets.order_summary_mailer.order_summary.voted_on_space_with_scope,You have voted on the %{budget_name} budget for the %{space_name} participatory space on %{scope_name} (%{scope_type}).,Sie haben über das %{budget_name} Budget für den %{space_name} Beteiligungsbereich in %{scope_name} (%{scope_type}) abgestimmt.,
decidim.budgets.projects.budget_confirm.are_you_sure,decidim.budgets.projects.budget_confirm.are_you_sure,"If you change your mind, you can change your vote later.","Wenn Sie Ihre Meinung ändern, können Sie später abstimmen.",
decidim.budgets.projects.budget_confirm.cancel,decidim.budgets.projects.budget_confirm.cancel,Cancel,Annullieren,
decidim.budgets.projects.budget_confirm.confirm,decidim.budgets.projects.budget_confirm.confirm,Confirm,Bestätigen,
decidim.budgets.projects.budget_confirm.description,decidim.budgets.projects.budget_confirm.description,These are the projects you have chosen to be part of the budget.,"Dies sind die Projekte, die Sie als Teil des Budgets ausgewählt haben.",
decidim.budgets.projects.budget_confirm.title,decidim.budgets.projects.budget_confirm.title,Confirm vote,Abstimmung bestätigen,
decidim.budgets.projects.budget_excess.close,decidim.budgets.projects.budget_excess.close,Close,Schließen,
decidim.budgets.projects.budget_excess.description,decidim.budgets.projects.budget_excess.description,"This project exceeds the maximum budget and can not be added. If you want, you can delete a project you have already selected to add, or make your vote with your preferences.","Dieses Projekt überschreitet das maximale Budget und kann nicht hinzugefügt werden. Wenn Sie möchten, können Sie ein Projekt, das Sie bereits zum Hinzufügen ausgewählt haben, löschen oder Ihre Stimme mit Ihren Präferenzen abgeben.",
decidim.budgets.projects.budget_excess.ok,decidim.budgets.projects.budget_excess.ok,OK,OK,
decidim.budgets.projects.budget_excess.title,decidim.budgets.projects.budget_excess.title,Maximum budget exceeded,Maximales Budget überschritten,
decidim.budgets.projects.budget_summary.are_you_sure,decidim.budgets.projects.budget_summary.are_you_sure,Are you sure you want to cancel your vote?,"Sind Sie sicher, dass Sie Ihre Abstimmung löschen möchten?",
decidim.budgets.projects.budget_summary.assigned,decidim.budgets.projects.budget_summary.assigned,Assigned:,Zugewiesen:,
decidim.budgets.projects.budget_summary.cancel_order,decidim.budgets.projects.budget_summary.cancel_order,delete your vote and start over,Abstimmung löschen und von vorne beginnen,
decidim.budgets.projects.budget_summary.checked_out.description,decidim.budgets.projects.budget_summary.checked_out.description,"You've already voted for the budget. If you've changed your mind, you can %{cancel_link}.","Sie haben bereits über das Budget abgestimmt. Wenn Sie Ihre Meinung geändert haben, können Sie %{cancel_link}.",
decidim.budgets.projects.budget_summary.checked_out.title,decidim.budgets.projects.budget_summary.checked_out.title,Budget vote completed,Budgetabstimmung abgeschlossen,
decidim.budgets.projects.budget_summary.description,decidim.budgets.projects.budget_summary.description,What projects do you think we should allocate budget for? Assign at least %{minimum_budget} to the projects you want and vote with your preferences to define the budget.,"Für welche Projekte sollten wir Ihrer Meinung nach ein Budget bereitstellen? Weisen Sie den von Ihnen gewünschten Projekten mindestens %{minimum_budget} zu und stimmen Sie mit Ihren Präferenzen ab, um das Budget festzulegen.",
decidim.budgets.projects.budget_summary.description_minimum_projects_rule,decidim.budgets.projects.budget_summary.description_minimum_projects_rule,What projects do you think we should allocate budget for? Select at least %{minimum_number} projects you want and vote with your preferences to define the budget.,"Für welche Projekte sollten wir Ihrer Meinung nach ein Budget bereitstellen? Wählen Sie mindestens %{minimum_number} von Ihnen gewünschten Projekte aus und stimmen Sie mit Ihren Präferenzen ab, um das Budget festzulegen.",
decidim.budgets.projects.budget_summary.title,decidim.budgets.projects.budget_summary.title,You decide the budget,Sie bestimmen das Budget,
decidim.budgets.projects.count.projects_count.one,decidim.budgets.projects.count.projects_count.one,1 project,1 Projekt,
decidim.budgets.projects.count.projects_count.other,decidim.budgets.projects.count.projects_count.other,%{count} projects,%{count} Projekte,
decidim.budgets.projects.filters.category,decidim.budgets.projects.filters.category,Category,Kategorie,
decidim.budgets.projects.filters.scope,decidim.budgets.projects.filters.scope,Scope,Reichweite,
decidim.budgets.projects.filters.search,decidim.budgets.projects.filters.search,Search,Suche,
decidim.budgets.projects.filters.status,decidim.budgets.projects.filters.status,Status,Status,
decidim.budgets.projects.filters.status_values.all,decidim.budgets.projects.filters.status_values.all,All,Alle,
decidim.budgets.projects.filters.status_values.not_selected,decidim.budgets.projects.filters.status_values.not_selected,Not selected,Nicht ausgewählt,
decidim.budgets.projects.filters.status_values.selected,decidim.budgets.projects.filters.status_values.selected,Selected,Ausgewählt,
decidim.budgets.projects.filters_small_view.close_modal,decidim.budgets.projects.filters_small_view.close_modal,Close modal,Fenster schließen,
decidim.budgets.projects.filters_small_view.filter,decidim.budgets.projects.filters_small_view.filter,Filter,Filter,
decidim.budgets.projects.filters_small_view.filter_by,decidim.budgets.projects.filters_small_view.filter_by,Filter by,Filtern nach,
decidim.budgets.projects.filters_small_view.unfold,decidim.budgets.projects.filters_small_view.unfold,Unfold,Aufklappen,
decidim.budgets.projects.order_progress.vote,decidim.budgets.projects.order_progress.vote,Vote,Abstimmen,
decidim.budgets.projects.order_selected_projects.remove,decidim.budgets.projects.order_selected_projects.remove,Remove,Entfernen,
decidim.budgets.projects.order_selected_projects.selected_projects.one,decidim.budgets.projects.order_selected_projects.selected_projects.one,project selected,Ausgewähltes Projekt,
decidim.budgets.projects.order_selected_projects.selected_projects.other,decidim.budgets.projects.order_selected_projects.selected_projects.other,projects selected,Ausgewählte Projekte,
decidim.budgets.projects.order_selected_projects.view,decidim.budgets.projects.order_selected_projects.view,View,Anzeigen,
decidim.budgets.projects.orders.highest_cost,decidim.budgets.projects.orders.highest_cost,Highest cost,Höchste Kosten,
decidim.budgets.projects.orders.label,decidim.budgets.projects.orders.label,Order projects by,Projekte ordnen nach,
decidim.budgets.projects.orders.lowest_cost,decidim.budgets.projects.orders.lowest_cost,Lowest cost,Niedrigste Kosten,
decidim.budgets.projects.orders.most_voted,decidim.budgets.projects.orders.most_voted,Most voted,Meiste Stimmen,
decidim.budgets.projects.orders.random,decidim.budgets.projects.orders.random,Random order,Zufällige Reihenfolge,
decidim.budgets.projects.orders.selected,decidim.budgets.projects.orders.selected,Selected,Ausgewählt,
decidim.budgets.projects.project.add,decidim.budgets.projects.project.add,Add project %{resource_name} to your vote,Projekt %{resource_name} zu Ihrer Abstimmung hinzufügen,
decidim.budgets.projects.project.remove,decidim.budgets.projects.project.remove,Remove project %{resource_name} from your vote,Projekt %{resource_name} aus Ihrer Abstimmung entfernen,
decidim.budgets.projects.project.selected,decidim.budgets.projects.project.selected,Selected,Ausgewählt,
decidim.budgets.projects.project.view,decidim.budgets.projects.project.view,View,Anzeigen,
decidim.budgets.projects.project.votes.one,decidim.budgets.projects.project.votes.one,vote,Abstimmen,
decidim.budgets.projects.project.votes.other,decidim.budgets.projects.project.votes.other,votes,Stimmen,
decidim.budgets.projects.project.you_voted,decidim.budgets.projects.project.you_voted,You voted,Sie haben abgestimmt,
decidim.budgets.projects.project_budget_button.add,decidim.budgets.projects.project_budget_button.add,Add to your vote,Zu Ihrer Abstimmung hinzufügen,
decidim.budgets.projects.project_budget_button.add_descriptive,decidim.budgets.projects.project_budget_button.add_descriptive,Add project %{resource_name} to your vote,Projekt %{resource_name} zu Ihrer Abstimmung hinzufügen,
decidim.budgets.projects.project_budget_button.added,decidim.budgets.projects.project_budget_button.added,Added to your vote,Zu Ihrer Abstimmung hinzugefügt,
decidim.budgets.projects.project_budget_button.added_descriptive,decidim.budgets.projects.project_budget_button.added_descriptive,Project %{resource_name} added to your vote,Project %{resource_name} zu Ihrer Abstimmung hinzugefügt,
decidim.budgets.projects.projects_for,decidim.budgets.projects.projects_for,Projects for %{name},Projekte für %{Name},
decidim.budgets.projects.show.budget,decidim.budgets.projects.show.budget,Budget,Budget,
decidim.budgets.projects.show.view_all_projects,decidim.budgets.projects.show.view_all_projects,View all projects,Alle Projekte anzeigen,
decidim.components.budgets.actions.vote,decidim.components.budgets.actions.vote,Vote,Abstimmen,
decidim.components.budgets.name,decidim.components.budgets.name,Budgets,Budgets,
decidim.components.budgets.settings.global.announcement,decidim.components.budgets.settings.global.announcement,Announcement,Bekanntmachung,
decidim.components.budgets.settings.global.comments_enabled,decidim.components.budgets.settings.global.comments_enabled,Comments enabled,Kommentare aktiviert,
decidim.components.budgets.settings.global.comments_max_length,decidim.components.budgets.settings.global.comments_max_length,Comments max length (Leave 0 for default value),Maximale Länge des Kommentars (0 als Standardwert unverändert lassen),
decidim.components.budgets.settings.global.form.errors.budget_voting_rule_only_one,decidim.components.budgets.settings.global.form.errors.budget_voting_rule_only_one,Only one voting rule must be enabled,Nur eine Abstimmungsregel darf aktiviert sein,
decidim.components.budgets.settings.global.form.errors.budget_voting_rule_required,decidim.components.budgets.settings.global.form.errors.budget_voting_rule_required,One voting rule is required,Eine Abstimmungsregel ist erforderlich,
decidim.components.budgets.settings.global.landing_page_content,decidim.components.budgets.settings.global.landing_page_content,Budgets landing page,Landing-Page Budgets,
decidim.components.budgets.settings.global.more_information_modal,decidim.components.budgets.settings.global.more_information_modal,More information modal,Fenster Weitere Informationen,
decidim.components.budgets.settings.global.projects_per_page,decidim.components.budgets.settings.global.projects_per_page,Projects per page,Projekte pro Seite,
decidim.components.budgets.settings.global.resources_permissions_enabled,decidim.components.budgets.settings.global.resources_permissions_enabled,Actions permissions can be set for each meeting,Aktionsautorisierungen können für jede Sitzung festgelegt werden,
decidim.components.budgets.settings.global.total_budget,decidim.components.budgets.settings.global.total_budget,Total budget,Gesamtbudget,
decidim.components.budgets.settings.global.vote_minimum_budget_projects_number,decidim.components.budgets.settings.global.vote_minimum_budget_projects_number,Minimum number of projects to vote,Mindestanzahl von Projekten zur Abstimmung,
decidim.components.budgets.settings.global.vote_rule_minimum_budget_projects_enabled,decidim.components.budgets.settings.global.vote_rule_minimum_budget_projects_enabled,Enable rule: Minimum number of projects to be voted on,Regel aktivieren: Mindestanzahl von Projekten zur Abstimmung,
decidim.components.budgets.settings.global.vote_rule_threshold_percent_enabled,decidim.components.budgets.settings.global.vote_rule_threshold_percent_enabled,Enable rule: Minimum budget percentage,Regel aktivieren: Mindestbudgetprozentsatz,
decidim.components.budgets.settings.global.vote_threshold_percent,decidim.components.budgets.settings.global.vote_threshold_percent,Vote threshold percent,Abstimmungsschwellenwert Prozent,
decidim.components.budgets.settings.global.workflow,decidim.components.budgets.settings.global.workflow,Workflow,Arbeitsfluss,
decidim.components.budgets.settings.global.workflow_choices.all,decidim.components.budgets.settings.global.workflow_choices.all,Vote in all: allows participants to vote in all budgets.,"In allen abstimmen: Ermöglicht es den Teilnehmern, in allen Budgets abzustimmen.",
decidim.components.budgets.settings.global.workflow_choices.one,decidim.components.budgets.settings.global.workflow_choices.one,"Vote in one: allows participants to vote in any budget, but only in one.",In einem abstimmen: Ermöglicht es den Teilnehmer nur in einem Budget abzustimmen.,
decidim.components.budgets.settings.step.announcement,decidim.components.budgets.settings.step.announcement,Announcement,Bekanntmachung,
decidim.components.budgets.settings.step.comments_blocked,decidim.components.budgets.settings.step.comments_blocked,Comments blocked,Kommentare deaktiviert,
decidim.components.budgets.settings.step.highlighted_heading,decidim.components.budgets.settings.step.highlighted_heading,Highlighted heading,Hervorgehobene Überschrift,
decidim.components.budgets.settings.step.landing_page_content,decidim.components.budgets.settings.step.landing_page_content,Budgets landing page,Landing-Page Budgets,
decidim.components.budgets.settings.step.list_heading,decidim.components.budgets.settings.step.list_heading,List heading,Überschrift der Liste,
decidim.components.budgets.settings.step.more_information_modal,decidim.components.budgets.settings.step.more_information_modal,More information modal,Fenster Weitere Informationen,
decidim.components.budgets.settings.step.show_votes,decidim.components.budgets.settings.step.show_votes,Show votes,Stimmen anzeigen,
decidim.components.budgets.settings.step.title,decidim.components.budgets.settings.step.title,Title,Titel,
decidim.components.budgets.settings.step.votes,decidim.components.budgets.settings.step.votes,Voting,Abstimmung,
decidim.components.budgets.settings.step.votes_choices.disabled,decidim.components.budgets.settings.step.votes_choices.disabled,Voting disabled,Abstimmung deaktiviert,
decidim.components.budgets.settings.step.votes_choices.enabled,decidim.components.budgets.settings.step.votes_choices.enabled,Voting enabled,Abstimmung aktiviert,
decidim.components.budgets.settings.step.votes_choices.finished,decidim.components.budgets.settings.step.votes_choices.finished,Voting finished,Abstimmung abgeschlossen,
decidim.events.budgets.budget_published.email_intro,decidim.events.budgets.budget_published.email_intro,The %{resource_title} budget is now active for %{participatory_space_title}. You can see it from this page:,Das %{resource_title} Budget ist jetzt für %{participatory_space_title} aktiv. Einsehbar von dieser Seite:,
decidim.events.budgets.budget_published.email_outro,decidim.events.budgets.budget_published.email_outro,You have received this notification because you are following %{participatory_space_title}. You can stop receiving notifications following the previous link.,"Sie haben diese Benachrichtigung erhalten, weil Sie ""%{participatory_space_title}"" folgen. Der Empfang von Benachrichtigungen kann über den vorherigen Link beendet werden.",
decidim.events.budgets.budget_published.email_subject,decidim.events.budgets.budget_published.email_subject,The %{resource_title} budget is now active for %{participatory_space_title}.,Das %{resource_title} Budget ist jetzt für %{participatory_space_title} aktiv.,
decidim.events.budgets.budget_published.notification_title,decidim.events.budgets.budget_published.notification_title,"The <a href=""%{resource_path}"">%{resource_title}</a> budget is now active for %{participatory_space_title}.","Das <a href=""%{resource_path}"">%{resource_title}</a> Budget ist jetzt aktiv für %{participatory_space_title}.",
decidim.orders.checkout.error,decidim.orders.checkout.error,There was a problem processing your vote,Bei der Bearbeitung Ihrer Stimme ist ein Problem aufgetreten,
decidim.orders.checkout.success,decidim.orders.checkout.success,Your vote has been successfully accepted,Ihre Stimme wurde erfolgreich angenommen,
decidim.orders.destroy.error,decidim.orders.destroy.error,There was a problem canceling your vote,Beim Löschen Ihrer Stimme ist ein Problem aufgetreten,
decidim.orders.destroy.success,decidim.orders.destroy.success,Your vote has been successfully canceled,Ihre Stimme wurde erfolgreich gelöscht,
decidim.resource_links.included_proposals.project_proposal,decidim.resource_links.included_proposals.project_proposal,Proposals included in this project:,In diesem Projekt enthaltene Vorschläge:,
index.confirmed_orders_count,index.confirmed_orders_count,Votes count,Auszählung der Stimmen,
total_budget,total_budget,Total budget,Gesamtbudget,