activemodel.attributes.constraint.subject_id,Topic,Proceso,,
activemodel.attributes.meeting.cofe_charter_html,"I agree to the <a href=""%{url}"" target=""_blank"">charter</a> of the Conference on the Future of Europe","Acepto la <a href=""%{url}"" target=""_blank"">Carta</a> de la Conferencia sobre el Futuro de Europa",,
activemodel.models.decidim/meetings/upcoming_meeting_event,Upcoming event,Próximo encuentro,,
activerecord.models.decidim/meetings/meeting.one,Event,Encuentro,,
activerecord.models.decidim/meetings/meeting.other,Events,Encuentros,,
activerecord.models.decidim/participatory_process.one,Topic,Proceso,,
activerecord.models.decidim/participatory_process.other,Topics,Procesos,,
decidim.components.meetings.name,Events,Encuentros,,
decidim.components.meetings.settings.global.cofe_charter_url,COFE charter URL,URL a la Carta de la COFE,,
decidim.meetings.actions.new,New event,Nuevo encuentro,,
decidim.meetings.content_blocks.upcoming_events.upcoming_events,Upcoming events,Próximos encuentros,,
decidim.meetings.directory.meetings.index.meetings,Events,Encuentros,,
decidim.meetings.meetings.count.meetings_count.one,%{count} event,%{count} encuentro,,
decidim.meetings.meetings.count.meetings_count.other,%{count} events,%{count} encuentros,,
decidim.meetings.meetings.form.create_as,Organise event as,Organizar un encuentro en calidad de,,
decidim.meetings.meetings.index.new_meeting,New event,Nuevo encuentro,,
decidim.meetings.meetings.new.title,Organise Your Event,Organiza tu evento,,
decidim.meetings.models.meeting.fields.official_meeting,Official event,Encuentro oficial,,
decidim.menu.help,About the Conference,Sobre la conferencia,,
decidim.menu.processes,Topics,Procesos,,
decidim.menu_overwrite.citizens_panels,Citizens panels,Paneles ciudadanos,,
decidim.menu_overwrite.events,Events,Encuentros,,
decidim.menu_overwrite.plenaries,Plenaries,Plenarios,,
decidim.menu_overwrite.topics,Topics,Procesos,,
decidim.metrics.meetings.object,events,Encuentros,,
decidim.metrics.meetings.title,Events,Encuentros,,
decidim.pages.home.extended.meetings,Events,Encuentros,,
decidim.pages.home.statistics.meetings_count,Events,Encuentros,,
decidim.pages.home.statistics.processes_count,Topics,Procesos,,
decidim.pages.home.statistics.proposals_count,Ideas,Ideas,,
decidim.pages.index.title,About the Conference,Sobre la conferencia,,
decidim.participatory_processes.index.title,Topics,Procesos,,
decidim.participatory_processes.last_activity.new_participatory_process,New topic,Nuevo proceso,,
decidim.participatory_processes.pages.home.highlighted_processes.active_processes,Topics,Procesos,,
decidim.participatory_processes.pages.home.highlighted_processes.see_all_processes,See all topics,Ver todos los procesos,,
decidim.participatory_processes.participatory_process_groups.highlighted_meetings.past_meetings,Past events,Encuentros anteriores,,
decidim.participatory_processes.participatory_process_groups.highlighted_meetings.upcoming_meetings,Upcoming events,Próximos encuentros,,
decidim.participatory_processes.participatory_processes.filters.counters.active.one,1 active topic,1 proceso activo,,
decidim.participatory_processes.participatory_processes.filters.counters.active.other,%{count} active topics,%{count} procesos activos,,
decidim.participatory_processes.participatory_processes.filters.counters.all.one,1 topic,1 proceso,,
decidim.participatory_processes.participatory_processes.filters.counters.all.other,%{count} topics,%{count}procesos activos,,
decidim.participatory_processes.participatory_processes.filters.counters.past.one,1 past topic,1 proceso inactivo,,
decidim.participatory_processes.participatory_processes.filters.counters.past.other,%{count} past topics,%{count} procesos inactivos,,
decidim.participatory_processes.participatory_processes.filters.counters.upcoming.one,1 upcoming topic,1 proceso próximo,,
decidim.participatory_processes.participatory_processes.filters.counters.upcoming.other,%{count} upcoming topics,%{count} procesos próximos,,
decidim.participatory_processes.participatory_processes.filters.explanations.no_active,No active topics,No hay procesos activos,,
decidim.participatory_processes.statistics.meetings_count,Events,Encuentros,,
decidim.participatory_processes.statistics.processes_count,Topics,Procesos,,
decidim.participatory_processes.statistics.proposals_count,Ideas,Ideas,,
decidim.participatory_spaces.highlighted_meetings.see_all,See all events (%{count}),Ver todos los encuentros (%{count}),,
decidim.participatory_spaces.highlighted_meetings.upcoming_meetings,Upcoming events,Próximos encuentros,,
decidim.participatory_spaces.highlighted_proposals.see_all,See all ideas (%{count}),Ver todas las ideas (%{count}),,
decidim.participatory_spaces.upcoming_meeting_for_card.upcoming_meeting,Upcoming event,Próximo encuentro,,
decidim.proposals.last_activity.new_proposal_at_html,<span>New idea at %{link}</span>,<span>Nueva idea en %{link}</span>,,
decidim.proposals.proposals.count.proposals_count.one,%{count} idea,%{count} idea,,
decidim.proposals.proposals.count.proposals_count.other,%{count} ideas,%{count} ideas,,
decidim.proposals.proposals.index.new_proposal,New idea,Nueva idea,,
decidim.proposals.proposals.index.view_proposal,View idea,Ver idea,,
decidim.proposals.proposals.new.title,Share Your Idea,Comparte tu idea,,
decidim.proposals.proposals.proposal.view_proposal,View idea,Ver idea,,
decidim.proposals.proposals.wizard_aside.back_from_step_1,Back to ideas,Volver a ideas,,
decidim.proposals.proposals.wizard_aside.back_from_step_2,Back to ideas,Volver a ideas,,
decidim.proposals.proposals.wizard_aside.info,You are sharing an <strong>idea</strong>.,Estás compartiendo una <strong>idea</strong>.,,
decidim.proposals.proposals.wizard_steps.step_1,Share your idea,Comparte tu idea,,
decidim.proposals.proposals.wizard_steps.step_4,Publish your idea,Publicar idea,,
decidim.proposals.proposals.wizard_steps.title,Idea sharing steps,Cómo compartir una idea,,
decidim.proposals.versions.proposals.back_to_resource,Go back to idea,Volver a la idea,,
devise.omniauth_callbacks.failure,"Could not authenticate you from EU Login because ""%{reason}"".","No ha sido posible identificarle desde EU Login debido a ""%{reason}"".",,
devise.omniauth_callbacks.success,Successfully authenticated from EU Login account.,Identificación realizada con éxito desde su cuenta de EU Login.,,
layouts.decidim.language_chooser.close,Close,Cerrar,,
layouts.decidim.language_chooser.select_your_language,Select your language,Selecciona tu idioma,,
layouts.decidim.process_navigation.process_menu_item,About,Más información,,
layouts.decidim.user.logged_in,Logged in,Iniciar sesión,,
layouts.decidim.user.logged_in_as,Logged in as %{user},Iniciar sesión como %{user},,
activemodel.attributes.group.avatar,Avatar,Avatar,,
booleans.false,No,No,,
booleans.true,Yes,Sí,,
decidim.author.avatar,Avatar,Avatar,,
decidim.authorization_handlers.foo_authorization.fields.bar,Bar,Barra,,
decidim.authorization_handlers.foo_authorization.fields.foo,Foo,Foo,,
decidim.components.component_order_selector.order.debate,Debate,Debate,,
decidim.components.dummy.actions.bar,Bar,Barra,,
decidim.components.dummy.actions.foo,Foo,Foo,,
decidim.menu.help,Help,Ayuda,,
decidim.pages.home.extended.debates,Debates,Debates,,
decidim.pages.home.extended.meetings,Meetings,Reuniones,,
decidim.pages.home.statistics.debates_count,Debates,Debates,,
decidim.pages.home.statistics.meetings_count,Reuniones,Reuniones,,
decidim.pages.home.statistics.processes_count,Processes,Procesos,,
decidim.pages.home.statistics.proposals_count,Proposals,Propuestas,,
decidim.pages.index.title,Help,Ayuda,,
devise.omniauth_callbacks.failure,"Could not authenticate you from %{kind} because ""%{reason}"".","No ha sido posible identificarle desde %{kind} debido a ""%{reason}"".",,
devise.omniauth_callbacks.success,Successfully authenticated from %{kind} account.,Identificación realizada con éxito desde su cuenta de %{kind}.,,
activemodel.models.decidim/debates/create_debate_event,Debate,Debate,,
activerecord.models.decidim/debates/debate.one,Debate,Debate,,
activerecord.models.decidim/debates/debate.other,Debates,Debates,,
decidim.components.debates.name,Debates,Debates,,
decidim.debates.debates.count.debates_count.one,%{count} debate,%{count} debate,,
decidim.debates.debates.count.debates_count.other,%{count} debates,%{count} debates,,
decidim.gamification.badges.commented_debates.name,Debates,Debates,,
decidim.metrics.debates.object,debates,debates,,
decidim.metrics.debates.title,Debates,Debates,,
decidim.forms.user_answers_serializer.ip_hash,IP Hash,Hash IP,,
activemodel.models.decidim/meetings/upcoming_meeting_event,Upcoming meeting,Próxima reunión,,
activerecord.models.decidim/meetings/meeting.one,Meeting,Reunión,,
activerecord.models.decidim/meetings/meeting.other,Meetings,Reuniones,,
decidim.components.meetings.name,Meetings,Reuniones,,
decidim.meetings.actions.new,New meeting,Nueva reunión,,
decidim.meetings.content_blocks.upcoming_events.upcoming_events,Upcoming meetings,Próximas reuniones,,
decidim.meetings.directory.meetings.index.meetings,Reuniones,Reuniones,,
decidim.meetings.meetings.count.meetings_count.one,%{count} meeting,%{count} reunión,,
decidim.meetings.meetings.count.meetings_count.other,%{count} meetings,%{count} reuniones,,
decidim.meetings.meetings.form.create_as,Create meeting as,Crear reunión como,,
decidim.meetings.meetings.index.new_meeting,New meeting,Nueva reunión,,
decidim.meetings.meetings.new.title,Create Your Meeting,Crear reunión,,
decidim.meetings.models.meeting.fields.official_meeting,Official meeting,Reunión oficial,,
decidim.metrics.meetings.object,meetings,reuniones,,
decidim.metrics.meetings.title,Reuniones,Reuniones,,
decidim.participatory_processes.participatory_process_groups.highlighted_meetings.past_meetings,Past meetings,Reuniones anteriores,,
decidim.participatory_processes.participatory_process_groups.highlighted_meetings.upcoming_meetings,Upcoming meetings,Próximas reuniones,,
decidim.participatory_spaces.highlighted_meetings.see_all,See all meetings (%{count}),Ver todas las reuniones (%{count}),,
decidim.participatory_spaces.highlighted_meetings.upcoming_meetings,Upcoming meetings,Próximas reuniones,,
decidim.participatory_spaces.upcoming_meeting_for_card.upcoming_meeting,Upcoming meeting,Próxima reunión,,
activemodel.attributes.participatory_process.hashtag,Hashtag,Hashtag,,
activerecord.models.decidim/participatory_process.one,Participatory process,Proceso participativo,,
activerecord.models.decidim/participatory_process.other,Participatory processes,Procesos participativos,,
decidim.menu.processes,Processes,Procesos,,
decidim.participatory_processes.index.title,Participatory processes,Procesos participativos,,
decidim.participatory_processes.last_activity.new_participatory_process,New participatory process,Nuevos procesos participativos,,
decidim.participatory_processes.pages.home.highlighted_processes.active_processes,Active processes,Procesos activos,,
decidim.participatory_processes.pages.home.highlighted_processes.see_all_processes,See all processes,Ver todos los procesos,,
decidim.participatory_processes.participatory_processes.filters.counters.active.one,1 active process,1 proceso activo,,
decidim.participatory_processes.participatory_processes.filters.counters.active.other,%{count} active processes,%{count} procesos activos,,
decidim.participatory_processes.participatory_processes.filters.counters.all.one,1 process,1 proceso,,
decidim.participatory_processes.participatory_processes.filters.counters.all.other,%{count} processes,%{count} procesos,,
decidim.participatory_processes.participatory_processes.filters.counters.past.one,1 past process,1 proceso inactivo,,
decidim.participatory_processes.participatory_processes.filters.counters.past.other,%{count} past processes,%{count} procesos inactivos,,
decidim.participatory_processes.participatory_processes.filters.counters.upcoming.one,1 upcoming process,1 proceso próximo,,
decidim.participatory_processes.participatory_processes.filters.counters.upcoming.other,%{count} upcoming processes,%{count} procesos próximos,,
decidim.participatory_processes.participatory_processes.filters.explanations.no_active,No active processes,No hay procesos activos,,
decidim.participatory_processes.statistics.debates_count,Debates,Debates,,
decidim.participatory_processes.statistics.meetings_count,Meetings,Reuniones,,
decidim.participatory_processes.statistics.processes_count,Processes,Procesos,,
decidim.participatory_processes.statistics.proposals_count,Proposals,Propuestas,,
layouts.decidim.process_navigation.process_menu_item,The process,El proceso,,
decidim.participatory_spaces.highlighted_proposals.see_all,See all proposals (%{count}),Ver todas las propuestas (%{count}),,
decidim.proposals.last_activity.new_proposal_at_html,<span>New proposal at %{link}</span>,<span>Nueva propuesta en %{link}</span>,,
decidim.proposals.models.proposal.fields.id,ID,ID,,
decidim.proposals.proposals.count.proposals_count.one,%{count} proposal,%{count} propuesta,,
decidim.proposals.proposals.count.proposals_count.other,%{count} proposals,%{count} propuestas,,
decidim.proposals.proposals.index.new_proposal,New proposal,Nueva propuesta,,
decidim.proposals.proposals.index.view_proposal,View proposal,Ver propuesta,,
decidim.proposals.proposals.new.title,Create Your Proposal,Crea tu propuesta,,
decidim.proposals.proposals.proposal.view_proposal,View proposal,Ver propuesta,,
decidim.proposals.proposals.wizard_aside.back_from_step_1,Back to proposals,Volver a propuestas,,
decidim.proposals.proposals.wizard_aside.back_from_step_2,Back to proposals,Volver a propuestas,,
decidim.proposals.proposals.wizard_aside.info,You are creating a <strong>proposal</strong>.,Estás creando una <strong>propuesta</strong>.,,
decidim.proposals.proposals.wizard_steps.step_1,Create your proposal,Crea tu propuesta,,
decidim.proposals.proposals.wizard_steps.step_4,Publish your proposal,Publicar propuesta,,
decidim.proposals.proposals.wizard_steps.title,Proposal creation steps,Cómo crear una propuesta,,
decidim.proposals.versions.proposals.back_to_resource,Go back to proposal,Volver a la propuesta,,
decidim.verifications.id_documents.dni,DNI,DNI,,
decidim.verifications.id_documents.nie,NIE,NIE,,