decidim.meetings.meetings.count.meetings_count.one,%{count} event,%{count} događaj,,
decidim.meetings.meetings.count.meetings_count.few,%{count} events,%{count} događaja,,
decidim.meetings.meetings.count.meetings_count.many,%{count} events,%{count} događaja,,
decidim.meetings.meetings.count.meetings_count.other,%{count} events,%{count} događaja,,
decidim.participatory_spaces.highlighted_meetings.see_all,See all events (%{count}),Vidi sve događaje (%{count}),,
decidim.participatory_spaces.highlighted_proposals.see_all,See all ideas (%{count}),Vidi sve ideje (%{count}),,
decidim.proposals.proposals.count.proposals_count.one,%{count} idea,%{count} ideja,,
decidim.proposals.proposals.count.proposals_count.few,%{count} ideas,%{count} ideje,,
decidim.proposals.proposals.count.proposals_count.many,%{count} ideas,%{count} ideja,,
decidim.proposals.proposals.count.proposals_count.other,%{count} ideas,%{count} ideja,,
layouts.decidim.assemblies.order_by_assemblies.assemblies.one,%{count} assemblies,%{count} skup,,
layouts.decidim.assemblies.order_by_assemblies.assemblies.few,%{count} assemblies,%{count} skupa,,
layouts.decidim.assemblies.order_by_assemblies.assemblies.many,%{count} assemblies,%{count} skupova,,
layouts.decidim.assemblies.order_by_assemblies.assemblies.other,%{count} assemblies,%{count} skupova,,
layouts.decidim.conferences.order_by_conferences.conferences.one,%{count} conference,%{count} konferencija,,
layouts.decidim.conferences.order_by_conferences.conferences.few,%{count} conferences,%{count} konferencije,,
layouts.decidim.conferences.order_by_conferences.conferences.many,%{count} conferences,%{count} konferencija,,
layouts.decidim.conferences.order_by_conferences.conferences.other,%{count} conferences,%{count} konferencija,,
decidim.collapsible_list.hidden_elements_count.one,and %{count} more,i još %{count},,
decidim.collapsible_list.hidden_elements_count.few,and %{count} more,i još %{count},,
decidim.collapsible_list.hidden_elements_count.many,and %{count} more,i još %{count},,
decidim.collapsible_list.hidden_elements_count.other,and %{count} more,i još %{count},,
decidim.followers.followers_count.one,%{count} follower,%{count} pratitelj,,
decidim.followers.followers_count.few,%{count} followers,%{count} pratitelja,,
decidim.followers.followers_count.many,%{count} followers,%{count} pratitelja,,
decidim.followers.followers_count.other,%{count} followers,%{count} pratitelja,,
decidim.searches.results.results.one,%{count} result,%{count} rezultat,,
decidim.searches.results.results.few,%{count} results,%{count} rezultata,,
decidim.searches.results.results.many,%{count} results,%{count} rezultata,,
decidim.searches.results.results.other,%{count} results,%{count} rezultata,,
devise.shared.minimum_password_length.one,(%{count} character minimum),(minimalno %{count} znak),,
devise.shared.minimum_password_length.few,(%{count} characters minimum),(minimalno %{count} znaka),,
devise.shared.minimum_password_length.many,(%{count} characters minimum),(minimalno %{count} znakova),,
devise.shared.minimum_password_length.other,(%{count} characters minimum),(minimalno %{count} znakova),,
forms.length_validator.minimum.one,at least %{count} character,barem %{count} znak,,
forms.length_validator.minimum.few,at least %{count} characters,barem %{count} znaka,,
forms.length_validator.minimum.many,at least %{count} characters,barem %{count} znakova,,
forms.length_validator.minimum.other,at least %{count} characters,barem %{count} znakova,,
decidim.debates.debates.count.debates_count.one,%{count} debate,%{count} rasprava,,
decidim.debates.debates.count.debates_count.few,%{count} debates,%{count} rasprave,,
decidim.debates.debates.count.debates_count.many,%{count} debates,%{count} rasprava,,
decidim.debates.debates.count.debates_count.other,%{count} debates,%{count} rasprava,,
decidim.meetings.actions.invalid_destroy.proposals_count.one,The meeting cannot be destroyed because it has %{count} proposal associated to it:,Sastanak nije moguće uništiti  jer je s njim povezan %{count} prijedlog:,,
decidim.meetings.actions.invalid_destroy.proposals_count.few,The meeting cannot be destroyed because it has %{count} proposals associated to it:,Sastanak nije moguće uništiti jer su s njim povezana %{count} prijedloga:,,
decidim.meetings.actions.invalid_destroy.proposals_count.many,The meeting cannot be destroyed because it has %{count} proposals associated to it:,Sastanak nije moguće uništiti jer je s njim povezano %{count} prijedloga:,,
decidim.meetings.actions.invalid_destroy.proposals_count.other,The meeting cannot be destroyed because it has %{count} proposals associated to it:,Sastanak nije moguće uništiti jer je s njim povezano %{count} prijedloga:,,
decidim.meetings.meetings.count.meetings_count.one,%{count} meeting,%{count} sastanak,,
decidim.meetings.meetings.count.meetings_count.few,%{count} meetings,%{count} sastanka,,
decidim.meetings.meetings.count.meetings_count.many,%{count} meetings,%{count} sastanaka,,
decidim.meetings.meetings.count.meetings_count.other,%{count} meetings,%{count} sastanaka,,
decidim.meetings.meetings.show.remaining_slots.one,%{count} slot remaining,%{count} preostalo mjesto,,
decidim.meetings.meetings.show.remaining_slots.few,%{count} slots remaining,%{count} preostala mjesta,,
decidim.meetings.meetings.show.remaining_slots.many,%{count} slots remaining,%{count} preostalih mjesta,,
decidim.meetings.meetings.show.remaining_slots.other,%{count} slots remaining,%{count} preostalih mjesta,,
decidim.participatory_spaces.highlighted_meetings.see_all,See all meetings (%{count}),Vidi sve sastanke (%{count}),,
decidim.participatory_spaces.highlighted_proposals.see_all,See all proposals (%{count}),Vidi sve prijedloge (%{count}),,
decidim.proposals.collaborative_drafts.count.drafts_count.one,%{count} collaborative draft,%{count} zajednički nacrt,,
decidim.proposals.collaborative_drafts.count.drafts_count.few,%{count} collaborative drafts,%{count} zajednička nacrta,,
decidim.proposals.collaborative_drafts.count.drafts_count.many,%{count} collaborative drafts,%{count} zajedničkih nacrta,,
decidim.proposals.collaborative_drafts.count.drafts_count.other,%{count} collaborative drafts,%{count} zajedničkih nacrta,,
decidim.proposals.collaborative_drafts.show.hidden_authors_count.one,and %{count} more person,i još %{count} osoba,,
decidim.proposals.collaborative_drafts.show.hidden_authors_count.few,and %{count} more people,i još %{count} osobe,,
decidim.proposals.collaborative_drafts.show.hidden_authors_count.many,and %{count} more people,i još %{count} osoba,,
decidim.proposals.collaborative_drafts.show.hidden_authors_count.other,and %{count} more people,i još %{count} osoba,,
decidim.proposals.proposals.count.proposals_count.one,%{count} proposal,%{count} prijedlog,,
decidim.proposals.proposals.count.proposals_count.few,%{count} proposals,%{count} prijedloga,,
decidim.proposals.proposals.count.proposals_count.many,%{count} proposals,%{count} prijedloga,,
decidim.proposals.proposals.count.proposals_count.other,%{count} proposals,%{count} prijedloga,,
decidim.proposals.proposals.show.hidden_endorsers_count.one,and %{count} more person,i još %{count} osoba,,
decidim.proposals.proposals.show.hidden_endorsers_count.few,and %{count} more people,i još %{count} osobe,,
decidim.proposals.proposals.show.hidden_endorsers_count.many,and %{count} more people,i još %{count} osoba,,
decidim.proposals.proposals.show.hidden_endorsers_count.other,and %{count} more people,i još %{count} osoba,,